# id|location|valid_from|name|disclaimer|external_uri

# de

#!group:berlin|52.521165,13.413318|Berlin
basel_regio|47.546789,7.588996|2008-03|Basel Regio S-Bahn|Maximilian Dörrbecker, Wikimedia Commons|http://upload.wikimedia.org/wikipedia/commons/9/99/Basel_-_Regio-S-Bahn_Basel_-_Netzplan.jpg
basel_tram|47.553021,7.591031|2008-02|Basel Straßenbahn|Maximilian Dörrbecker, Wikimedia Commons
zvv|47.378136,8.540232|2010-12|ZVV Netzplan|Zürcher Verkehrsverbund/PostAuto Region Zürich
zvv_nacht|47.378136,8.540232|2010-12|ZVV Nachtnetz|Zürcher Verkehrsverbund/PostAuto Region Zürich
zuerich_stadt|47.378136,8.540232|2010-12|Zürich Stadt|ZVV/VBZ
zuerich_nacht|47.378136,8.540232|2010-12|Zürich Nachtnetz|Zürcher Verkehrsverbund/PostAuto Region Zürich
winterthur_stadt|47.500334,8.72342|2010-12|Winterthur Stadt|Zürcher Verkehrsverbund/PostAuto Region Zürich
winterthur_nacht|47.500334,8.72342|2010-12|Winterthur Nachtnetz|Zürcher Verkehrsverbund/PostAuto Region Zürich
bern|46.948748,7.439239|2011-04-04|Bern Liniennetz|BERNMOBIL

# be

brussels_metro|50.847293,4.361933|2009-08|Brussels Metro|STIB-MIVB|http://transportmaps.free.fr/maps/Belgium/Brussels/map_Metro.jpg
antwerp_tram|51.217197,4.421543||Antwerp Tram|De Lijn|http://transportmaps.free.fr/maps/Belgium/Antwerp/map_Tram_and_Premetro.jpg
antwerp_city|51.217197,4.421543||Antwerp City Center||http://transportmaps.free.fr/maps/Belgium/Antwerp/map_City_center_transport.jpg
antwerp_all|51.217197,4.421543||Antwerp All Transport||http://transportmaps.free.fr/maps/Belgium/Antwerp/map_All_transport.jpg

# se

gothenburg_city|57.708792,11.973538|2009-12-13|Göteborg City|västtrafik|http://transportmaps.free.fr/maps/Sweden/Gothenburg/map_City_Route_Map.jpg
gothenburg_tram|57.708792,11.973538||Göteborg Tram|västtrafik|http://transportmaps.free.fr/maps/Sweden/Gothenburg/map_Tram_lines.jpg
gothenburg_night|57.708792,11.973538||Göteborg Night Lines|västtrafik|http://transportmaps.free.fr/maps/Sweden/Gothenburg/map_Night_Lines.jpg
gothenburg_region|57.708792,11.973538||Göteborg Region|västtrafik|http://transportmaps.free.fr/maps/Sweden/Gothenburg/map_Buses_and_Trains_to_and_from_Gothenburg.jpg
jonkoping_bus|57.784691,14.163508||Jonkoping Bus||http://transportmaps.free.fr/maps/Sweden/Jonkoping/map_Bus_Lines.jpg
jonkoping_map|57.784691,14.163508||Jonkoping Map||http://transportmaps.free.fr/maps/Sweden/Jonkoping/map_Bus_Map.jpg
linkoping_bus|58.416129,15.626714|2009-06-14|Linkoping Bus||http://transportmaps.free.fr/maps/Sweden/Linkoping/map_Bus.jpg
stockholm_train|59.329875,18.057218||Stockholm Train|Storstockholms Lokaltrafik|http://transportmaps.free.fr/maps/Sweden/Stockholm/map_All_Trains.jpg

# no

oslo_subway|59.910337,10.751746|2008-08|Oslo Subway|T-Banen|http://transportmaps.free.fr/maps/Norway/Oslo/map_Subway.jpg
oslo_tram|59.910337,10.751746|2009-04|Oslo Tram||http://transportmaps.free.fr/maps/Norway/Oslo/map_Tramway.jpg
oslo_bus|59.910337,10.751746|2009-04|Oslo Bus||http://transportmaps.free.fr/maps/Norway/Oslo/map_Bus.jpg
trondheim_bus|63.436476,10.398717||Trondheim Bus||http://transportmaps.free.fr/maps/Norway/Trondbeim/map_Bus.jpg

# tr

istanbul_rail|41.011939,28.984308|2007-06|Istanbul Rail Transit|Maximilian Dörrbecker, Wikimedia Commons|http://upload.wikimedia.org/wikipedia/commons/3/30/Istanbul_Rapid_Transit_Map.png

# uk

london_tube|51.513507,-0.110264|2010-10|London Tube|TfL|http://www.tfl.gov.uk/assets/downloads/standard-tube-map.gif
london_bus_center|51.513507,-0.110264||London Bus Center||http://transportmaps.free.fr/maps/United_Kingdom/London/map_Bus_Center.jpg
london_bus_northeast|51.513507,-0.110264|2009-02-13|London Bus North-East||http://transportmaps.free.fr/maps/United_Kingdom/London/map_Bus_North_East.jpg
london_bus_northwest|51.513507,-0.110264|2009-02-13|London Bus North-West||http://transportmaps.free.fr/maps/United_Kingdom/London/map_Bus_North_West.jpg
london_bus_southeast|51.513507,-0.110264|2009-02-13|London Bus South-East||http://transportmaps.free.fr/maps/United_Kingdom/London/map_Bus_South_East.jpg
london_bus_southwest|51.513507,-0.110264|2009-02-13|London Bus South-West||http://transportmaps.free.fr/maps/United_Kingdom/London/map_Bus_South_West.jpg
london_night|51.513507,-0.110264|2009-02-16|London Night Bus||http://transportmaps.free.fr/maps/United_Kingdom/London/map_Night_Bus.jpg
london_tramlink|51.37937,-0.101759|2010|London Tramlink|TfL|http://www.tfl.gov.uk/assets/downloads/tramlink-network-map.jpg
london_oyster|51.513507,-0.110264|2010-01|London Oyster Rail Services|TfL|http://transportmaps.free.fr/maps/United_Kingdom/London/map_Oyster_on_Rail
london_and_southeast|51.265868,0.276947||London & the South East Rail Services|FWT|http://transportmaps.free.fr/maps/United_Kingdom/London/map_SE_Rail.jpg
manchester_metro|53.479754,-2.24272||Manchester Metrolink|GMPTE|http://transportmaps.free.fr/maps/United_Kingdom/Manchester/map_Metrolink.jpg
bath_bus|51.377628,-2.357004||Bath Bus Network|FWT|http://transportmaps.free.fr/maps/United_Kingdom/Bath/map_Bus_Network.jpg
bath_bus_city_center|51.377628,-2.357004||Bath Bus City Zone 1|FWT|http://transportmaps.free.fr/maps/United_Kingdom/Bath/map_City_Center_Bus.jpg
leeds_bus|53.795649,-1.548003||Leeds Bus Network|FWT|http://transportmaps.free.fr/maps/United_Kingdom/Leeds/map_Bus.jpg
newcastle_metro|54.972793,-1.604741||Newcastle Metro|Nexus|http://transportmaps.free.fr/maps/United_Kingdom/Newcastle/map_Subway.jpg
nottingham_bus_city_center|52.947042,-1.146276||Nottingham City Centre Bus/Tram|FWT|http://transportmaps.free.fr/maps/United_Kingdom/Nottingham/map_Bus_NCTX_Inner_City_Map.jpg
nottingham_bus_greater_area|52.947042,-1.146276||Nottingham Greater Area Bus||http://transportmaps.free.fr/maps/United_Kingdom/Nottingham/map_Greater_Nottingham_Buses.jpg
york|53.957911,-1.093061||York Bus||http://transportmaps.free.fr/maps/United_Kingdom/York/map_Bus.jpg

# fr

paris_metro|48.855414,2.34488|2009-12|Paris Metro|Nathan Kaufmann, Wikimedia Commons

# it

rome_metro|41.891244,12.491097|2010|Rome Metro|Wikimedia Commons|http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Roma_Metropolitana.svg/2000px-Roma_Metropolitana.svg.png

# po

gdansk_tram|54.355338,18.644478|2008|Gdansk Tram|ZKM|http://transportmaps.free.fr/maps/Poland/Gdansk/map_Tram.jpg
krakow_tram|50.065365,19.947124|2010-03-01|Krakow Tram|KST|http://transportmaps.free.fr/maps/Poland/Krakow/map_Tram.jpg
poznan_tram|52.40144,16.91215||Poznan Tram|MPK|http://transportmaps.free.fr/maps/Poland/Poznan/map_Trams.jpg
poznan_night|52.40144,16.91215||Poznan Night Buses|MPK|http://transportmaps.free.fr/maps/Poland/Poznan/map_Night_Buses.jpg
warsaw_metro_tram|52.230515,21.010702||Warsaw Metro and Tram|zajcev|http://transportmaps.free.fr/maps/Poland/Warsaw/map_Subway_and_Tramway.jpg

# us

sanfrancisco_metro|37.774534,-122.419124|2007-07|San Francisco Metro|SFMTA|http://transit.511.org/static/providers/maps/SF_712200722845.gif
sanfrancisco_system|37.774534,-122.419124|2010-10|San Francisco System|SFMTA|http://transit.511.org/static/providers/maps/SF_1222201020400.gif
sanfrancisco_downtown|37.774534,-122.419124|2010-10|San Francisco Downtown|SFMTA|http://transit.511.org/static/providers/maps/SF_1222201020237.gif
sanfrancisco_marketstreet|37.774534,-122.419124|2010-10|San Francisco Market Street|SFMTA|http://transit.511.org/static/providers/maps/SF_10262010101811.gif
sanfrancisco_owl|37.774534,-122.419124|2010-10|San Francisco Owl Service|SFMTA|http://transit.511.org/static/providers/maps/SF_10262010102001.gif
sanfrancisco_bart|37.616291,-122.386079||San Francisco Bay Area Rapid Transit|BART|http://www.bart.gov/images/global/system-map.gif
losangeles_system|34.05427,-118.246715|2010-12|Los Angeles System|metro.net|http://www.metro.net/riding_metro/maps/images/system_Map.gif
# losangeles_downtown|34.05427,-118.246715|2010-12|Los Angeles Downtown|metro.net|http://www.metro.net/riding_metro/maps/images/System_Map_detail.jpg
newyork_subway|40.738452,-73.991919|2010-12|New York Subway|MTA

# ar

buenosaires_metro|-34.60837,-58.372171||Buenos Aires Metro|Metrovías|http://www.metrovias.com.ar/v2/html/..%5CImages%5CMapas%5Csubte-mapa-esquematico-2010.jpg
buenosaires_urquiza|-34.60837,-58.372171||Buenos Aires Urquiza|Metrovías|http://www.metrovias.com.ar/v2/Images/Mapas/mapa-urquiza.gif
buenosaires_premetro|-34.60837,-58.372171||Buenos Aires Premetro|Metrovías|http://www.metrovias.com.ar/v2/Images/Mapas/mapa-premetro.gif

# au

melbourne_metropolitan_train|-37.813425,144.962869|2010-07-25|Melbourne Metropolitan Train|State of Victoria|http://www.metlinkmelbourne.com.au/assets/images/Maps-and-stops/Train-and-tram-network/Train-Network-Map-updated-O.gif
melbourne_metropolitan_tram|-37.813425,144.962869|2011-04|Melbourne Metropolitan Tram|State of Victoria|http://www.metlinkmelbourne.com.au/assets/images/Maps-and-stops/Train-and-tram-network/TramNetworkMap3.jpg
sydney_cityrail|-33.882474,151.206688|2009-01|Sydney CityRail network|RailCorp|http://transportmaps.free.fr/maps/Australia/Sydney/map_Rail.jpg
sydney_monorail_lightrail|-33.873103,151.199918||Sydney Monorail/Light Rail||http://transportmaps.free.fr/maps/Australia/Sydney/map_Monorail_Light_Rail.jpg
sydney_night|-33.873813,151.206805||Sydney NightRide Bus network|RailCorp|http://transportmaps.free.fr/maps/Australia/Sydney/map_Night_Bus.jpg
sydney_ferry|-33.861256,151.210954|2008-12|Sydney Ferries||http://transportmaps.free.fr/maps/Australia/Sydney/map_Ferries.jpg
brisbane_rail_bus|-27.473986,153.028035|2009-08|Brisbane QR and busway network|TRANSLink|http://transportmaps.free.fr/maps/Australia/Brisbane/map_Train.jpg
brisbane_ferry|-27.473986,153.028035|2008-08-04|Brisbane TransLink ferries|TRANSLink|http://transportmaps.free.fr/maps/Australia/Brisbane/map_Ferry.jpg

# sg

singapore|1.299078,103.84577|2011|Singapore|Land Transport Authority

# cn

beijing_subway|39.924854,116.396577|2009|Beijing Subway|Wikimedia Commons|http://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Beijing-Subway-Plan.svg/2000px-Beijing-Subway-Plan.svg.png

# tw

taipei_metro|25.06331,121.55169|2010-10-29|Taipei Metro|Taipei Rapid Transit Corporation|http://web.trtc.com.tw/img/all/web2011.jpg

# in

delhi_metro|28.635481,77.225032|2010|Delhi Metro|Wikimedia Commons|http://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Delhi_metro_rail_network.svg/2000px-Delhi_metro_rail_network.svg.png

# jp

tokyo_subway|35.681143,139.76615|2010-10|Tokyo Subway|Bureau of Transportation
osaka_subway|34.693921,135.502181|2009-04-15|Osaka Subway|Osaka Municipal Transportation Bureau
